date,anomaly_category,severity_pct,raw_score,hour,day_of_week,is_weekend,Appliances_Wh,lights_Wh,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,T7_C,T8_C,T9_C,T_out_C,RH_1_pct,RH_2_pct,RH_3_pct,RH_5_pct,RH_out_pct,Windspeed_ms,Press_mmHg,Tdewpoint_C,top1_capteur,top1_label,top1_shap_score,top1_direction,top1_valeur_brute,top1_percentile_ctx,top1_interpretation,top2_capteur,top2_label,top2_shap_score,top2_direction,top2_valeur_brute,top2_percentile_ctx,top2_interpretation,top3_capteur,top3_label,top3_shap_score,top3_direction,top3_valeur_brute,top3_percentile_ctx,top3_interpretation,top4_capteur,top4_label,top4_shap_score,top4_direction,top4_valeur_brute,top4_percentile_ctx,top4_interpretation,top5_capteur,top5_label,top5_shap_score,top5_direction,top5_valeur_brute,top5_percentile_ctx,top5_interpretation
2016-01-14 11:10:00,mid,98.19,0.526952,11,Thursday,0,260.0,20.0,19.0,18.82,20.99,18.79,17.2,2.7,17.39,18.1,16.89,2.4,42.9,41.1,47.8,52.9,92.8,4.17,748.9,1.37,T3,Temperature buanderie (C),0.041193,HAUSSE,20.99,48.5,Temperature buanderie (C) = 20.99 -> valeur dans la norme pour 11h (HAUSSE du score anomalie),RH_3,Humidite buanderie (%),0.024588,HAUSSE,47.77,100.0,Humidite buanderie (%) = 47.77 -> valeur tres haute (top 10%) pour 11h (HAUSSE du score anomalie),RH_7,Humidite chambre parentale (%),0.01056,HAUSSE,38.23,73.0,Humidite chambre parentale (%) = 38.23 -> valeur dans la norme pour 11h (HAUSSE du score anomalie),lights,Eclairage (Wh),0.008503,HAUSSE,20.0,98.3,Eclairage (Wh) = 20.0 -> valeur tres haute (top 10%) pour 11h (HAUSSE du score anomalie),RH_8,Humidite salon ado (%),0.00689,HAUSSE,45.23,73.2,Humidite salon ado (%) = 45.23 -> valeur dans la norme pour 11h (HAUSSE du score anomalie)
2016-01-14 11:20:00,mid,96.32,0.512207,11,Thursday,0,240.0,10.0,19.1,18.89,21.33,18.79,17.2,2.83,17.39,18.1,16.89,2.5,42.9,41.0,48.0,53.0,92.7,4.33,748.8,1.43,T3,Temperature buanderie (C),0.034517,HAUSSE,21.33,57.3,Temperature buanderie (C) = 21.33 -> valeur dans la norme pour 11h (HAUSSE du score anomalie),RH_3,Humidite buanderie (%),0.029863,HAUSSE,47.97,100.0,Humidite buanderie (%) = 47.97 -> valeur tres haute (top 10%) pour 11h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.008263,HAUSSE,240.0,89.8,Consommation appareils (Wh) = 240.0 -> valeur haute (top 25%) pour 11h (HAUSSE du score anomalie),RH_9,Humidite chambre (%),0.00553,HAUSSE,46.0,83.8,Humidite chambre (%) = 46.0 -> valeur haute (top 25%) pour 11h (HAUSSE du score anomalie),T1,Temperature cuisine (C),0.004642,HAUSSE,19.1,9.5,Temperature cuisine (C) = 19.1 -> valeur tres basse (bottom 10%) pour 11h (HAUSSE du score anomalie)
2016-01-14 11:30:00,mid,96.73,0.514367,11,Thursday,0,220.0,10.0,19.17,19.03,21.63,18.89,17.2,2.97,17.39,18.1,16.89,2.6,43.5,40.8,47.6,53.1,92.5,4.5,748.8,1.5,T3,Temperature buanderie (C),0.03191,HAUSSE,21.63,64.1,Temperature buanderie (C) = 21.63 -> valeur dans la norme pour 11h (HAUSSE du score anomalie),lights,Eclairage (Wh),0.011406,HAUSSE,10.0,91.9,Eclairage (Wh) = 10.0 -> valeur tres haute (top 10%) pour 11h (HAUSSE du score anomalie),T2,Temperature salon/salle de vie (C),0.010841,HAUSSE,19.03,33.8,Temperature salon/salle de vie (C) = 19.03 -> valeur dans la norme pour 11h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.010741,HAUSSE,220.0,89.0,Consommation appareils (Wh) = 220.0 -> valeur haute (top 25%) pour 11h (HAUSSE du score anomalie),RH_3,Humidite buanderie (%),0.00997,HAUSSE,47.62,100.0,Humidite buanderie (%) = 47.62 -> valeur tres haute (top 10%) pour 11h (HAUSSE du score anomalie)
2016-01-14 11:40:00,mid,98.06,0.525586,11,Thursday,0,130.0,10.0,19.36,19.17,21.76,18.89,17.2,3.07,17.39,18.1,16.93,2.7,44.6,40.7,46.6,53.2,92.3,4.67,748.7,1.57,T3,Temperature buanderie (C),0.040223,HAUSSE,21.76,65.8,Temperature buanderie (C) = 21.76 -> valeur dans la norme pour 11h (HAUSSE du score anomalie),RH_3,Humidite buanderie (%),0.024643,HAUSSE,46.62,100.0,Humidite buanderie (%) = 46.62 -> valeur tres haute (top 10%) pour 11h (HAUSSE du score anomalie),T1,Temperature cuisine (C),0.01096,HAUSSE,19.36,11.6,Temperature cuisine (C) = 19.36 -> valeur basse (bottom 25%) pour 11h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.010492,HAUSSE,130.0,84.0,Consommation appareils (Wh) = 130.0 -> valeur haute (top 25%) pour 11h (HAUSSE du score anomalie),T2,Temperature salon/salle de vie (C),0.009877,HAUSSE,19.17,39.8,Temperature salon/salle de vie (C) = 19.17 -> valeur dans la norme pour 11h (HAUSSE du score anomalie)
2016-01-14 11:50:00,mid,97.86,0.523868,11,Thursday,0,90.0,10.0,19.57,19.32,21.79,18.89,17.1,3.26,17.39,18.03,17.0,2.8,44.5,40.7,45.4,53.2,92.2,4.83,748.6,1.63,T3,Temperature buanderie (C),0.027151,HAUSSE,21.79,69.3,Temperature buanderie (C) = 21.79 -> valeur dans la norme pour 11h (HAUSSE du score anomalie),T2,Temperature salon/salle de vie (C),0.017666,HAUSSE,19.32,47.9,Temperature salon/salle de vie (C) = 19.32 -> valeur dans la norme pour 11h (HAUSSE du score anomalie),T1,Temperature cuisine (C),0.015091,HAUSSE,19.57,14.3,Temperature cuisine (C) = 19.57 -> valeur basse (bottom 25%) pour 11h (HAUSSE du score anomalie),RH_3,Humidite buanderie (%),0.011127,HAUSSE,45.39,100.0,Humidite buanderie (%) = 45.39 -> valeur tres haute (top 10%) pour 11h (HAUSSE du score anomalie),RH_4,Humidite bureau (%),0.006662,HAUSSE,42.72,79.9,Humidite bureau (%) = 42.72 -> valeur haute (top 25%) pour 11h (HAUSSE du score anomalie)
2016-01-14 12:00:00,mid,96.61,0.513853,12,Thursday,0,290.0,10.0,19.73,19.46,21.73,18.93,17.1,3.43,17.39,18.0,17.0,2.9,45.1,40.6,44.7,53.2,92.0,5.0,748.6,1.7,T1,Temperature cuisine (C),0.023975,HAUSSE,19.73,17.1,Temperature cuisine (C) = 19.73 -> valeur basse (bottom 25%) pour 12h (HAUSSE du score anomalie),T3,Temperature buanderie (C),0.019392,HAUSSE,21.73,60.0,Temperature buanderie (C) = 21.73 -> valeur dans la norme pour 12h (HAUSSE du score anomalie),RH_3,Humidite buanderie (%),0.017944,HAUSSE,44.73,95.1,Humidite buanderie (%) = 44.73 -> valeur tres haute (top 10%) pour 12h (HAUSSE du score anomalie),Press_mm_hg,Pression atmospherique (mmHg),0.007764,HAUSSE,748.6,19.0,Pression atmospherique (mmHg) = 748.6 -> valeur basse (bottom 25%) pour 12h (HAUSSE du score anomalie),T2,Temperature salon/salle de vie (C),0.007555,HAUSSE,19.46,39.3,Temperature salon/salle de vie (C) = 19.46 -> valeur dans la norme pour 12h (HAUSSE du score anomalie)
2016-01-14 12:10:00,mid,97.92,0.524567,12,Thursday,0,410.0,0.0,20.0,19.63,21.57,19.0,17.1,3.5,17.39,18.0,17.0,3.12,45.7,40.5,44.5,53.2,91.3,5.17,748.5,1.82,RH_3,Humidite buanderie (%),0.033366,HAUSSE,44.46,91.5,Humidite buanderie (%) = 44.46 -> valeur tres haute (top 10%) pour 12h (HAUSSE du score anomalie),RH_out,Humidite exterieure (%),0.010251,HAUSSE,91.33,89.7,Humidite exterieure (%) = 91.33 -> valeur haute (top 25%) pour 12h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.010105,HAUSSE,410.0,98.7,Consommation appareils (Wh) = 410.0 -> valeur tres haute (top 10%) pour 12h (HAUSSE du score anomalie),T2,Temperature salon/salle de vie (C),0.009947,HAUSSE,19.63,45.9,Temperature salon/salle de vie (C) = 19.63 -> valeur dans la norme pour 12h (HAUSSE du score anomalie),T3,Temperature buanderie (C),0.009914,HAUSSE,21.57,56.0,Temperature buanderie (C) = 21.57 -> valeur dans la norme pour 12h (HAUSSE du score anomalie)
2016-01-14 16:50:00,mid,98.18,0.52684,16,Thursday,0,740.0,0.0,21.39,20.79,21.42,18.7,17.1,5.12,17.57,18.07,17.0,4.73,40.6,38.3,43.4,53.0,76.5,6.83,747.9,0.92,Appliances,Consommation appareils (Wh),0.044108,HAUSSE,740.0,100.0,Consommation appareils (Wh) = 740.0 -> valeur tres haute (top 10%) pour 16h (HAUSSE du score anomalie),RH_3,Humidite buanderie (%),0.028548,HAUSSE,43.44,83.9,Humidite buanderie (%) = 43.44 -> valeur haute (top 25%) pour 16h (HAUSSE du score anomalie),T3,Temperature buanderie (C),0.010335,HAUSSE,21.42,50.3,Temperature buanderie (C) = 21.42 -> valeur dans la norme pour 16h (HAUSSE du score anomalie),T1,Temperature cuisine (C),0.009487,HAUSSE,21.39,52.2,Temperature cuisine (C) = 21.39 -> valeur dans la norme pour 16h (HAUSSE du score anomalie),T2,Temperature salon/salle de vie (C),0.000829,HAUSSE,20.79,67.9,Temperature salon/salle de vie (C) = 20.79 -> valeur dans la norme pour 16h (HAUSSE du score anomalie)
2016-01-14 17:00:00,mid,98.42,0.529825,17,Thursday,0,910.0,0.0,21.46,20.86,21.67,18.7,17.1,4.97,17.6,18.2,17.0,4.6,41.7,38.4,43.9,53.0,76.0,7.0,747.9,0.7,RH_3,Humidite buanderie (%),0.040605,HAUSSE,43.93,87.6,Humidite buanderie (%) = 43.93 -> valeur haute (top 25%) pour 17h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.03475,HAUSSE,910.0,100.0,Consommation appareils (Wh) = 910.0 -> valeur tres haute (top 10%) pour 17h (HAUSSE du score anomalie),T1,Temperature cuisine (C),0.011913,HAUSSE,21.46,55.0,Temperature cuisine (C) = 21.46 -> valeur dans la norme pour 17h (HAUSSE du score anomalie),T2,Temperature salon/salle de vie (C),0.010439,HAUSSE,20.86,69.3,Temperature salon/salle de vie (C) = 20.86 -> valeur dans la norme pour 17h (HAUSSE du score anomalie),RH_out,Humidite exterieure (%),0.005306,HAUSSE,76.0,58.0,Humidite exterieure (%) = 76.0 -> valeur dans la norme pour 17h (HAUSSE du score anomalie)
2016-01-14 17:10:00,high,99.43,0.549743,17,Thursday,0,610.0,10.0,21.63,20.93,21.96,18.63,17.1,4.83,17.67,18.2,17.0,4.58,45.2,38.6,44.6,53.0,76.0,6.83,747.9,0.68,Appliances,Consommation appareils (Wh),0.048115,HAUSSE,610.0,99.6,Consommation appareils (Wh) = 610.0 -> valeur tres haute (top 10%) pour 17h (HAUSSE du score anomalie),RH_3,Humidite buanderie (%),0.039635,HAUSSE,44.57,93.0,Humidite buanderie (%) = 44.57 -> valeur tres haute (top 10%) pour 17h (HAUSSE du score anomalie),RH_out,Humidite exterieure (%),0.018482,HAUSSE,76.0,58.0,Humidite exterieure (%) = 76.0 -> valeur dans la norme pour 17h (HAUSSE du score anomalie),lights,Eclairage (Wh),0.014119,HAUSSE,10.0,90.8,Eclairage (Wh) = 10.0 -> valeur tres haute (top 10%) pour 17h (HAUSSE du score anomalie),,,,,,,
2016-01-14 17:20:00,high,99.36,0.547122,17,Thursday,0,510.0,10.0,21.76,21.13,22.17,18.7,17.1,4.8,17.7,18.29,17.0,4.57,47.1,39.1,45.0,53.1,76.0,6.67,748.0,0.67,RH_3,Humidite buanderie (%),0.039995,HAUSSE,45.03,95.8,Humidite buanderie (%) = 45.03 -> valeur tres haute (top 10%) pour 17h (HAUSSE du score anomalie),RH_1,Humidite cuisine (%),0.025924,HAUSSE,47.13,98.8,Humidite cuisine (%) = 47.13 -> valeur tres haute (top 10%) pour 17h (HAUSSE du score anomalie),RH_4,Humidite bureau (%),0.012148,HAUSSE,44.49,84.3,Humidite bureau (%) = 44.49 -> valeur haute (top 25%) pour 17h (HAUSSE du score anomalie),RH_8,Humidite salon ado (%),0.011475,HAUSSE,45.7,81.7,Humidite salon ado (%) = 45.7 -> valeur haute (top 25%) pour 17h (HAUSSE du score anomalie),lights,Eclairage (Wh),0.010441,HAUSSE,10.0,90.8,Eclairage (Wh) = 10.0 -> valeur tres haute (top 10%) pour 17h (HAUSSE du score anomalie)
2016-01-14 17:30:00,high,99.41,0.548496,17,Thursday,0,190.0,0.0,21.95,21.29,22.43,18.7,17.1,4.73,17.7,18.36,17.0,4.55,45.3,39.5,45.3,53.3,76.0,6.5,748.0,0.65,RH_3,Humidite buanderie (%),0.042563,HAUSSE,45.26,96.2,Humidite buanderie (%) = 45.26 -> valeur tres haute (top 10%) pour 17h (HAUSSE du score anomalie),T1,Temperature cuisine (C),0.02204,HAUSSE,21.95,69.3,Temperature cuisine (C) = 21.95 -> valeur dans la norme pour 17h (HAUSSE du score anomalie),RH_4,Humidite bureau (%),0.014445,HAUSSE,45.46,88.0,Humidite bureau (%) = 45.46 -> valeur haute (top 25%) pour 17h (HAUSSE du score anomalie),T3,Temperature buanderie (C),0.012731,HAUSSE,22.43,72.9,Temperature buanderie (C) = 22.43 -> valeur dans la norme pour 17h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.012518,HAUSSE,190.0,86.3,Consommation appareils (Wh) = 190.0 -> valeur haute (top 25%) pour 17h (HAUSSE du score anomalie)
2016-01-14 17:40:00,mid,97.89,0.524146,17,Thursday,0,110.0,10.0,22.0,21.36,22.57,18.76,17.1,4.56,17.7,18.43,17.0,4.53,44.0,39.5,45.0,53.6,76.0,6.33,748.0,0.63,T3,Temperature buanderie (C),0.025016,HAUSSE,22.57,75.5,Temperature buanderie (C) = 22.57 -> valeur haute (top 25%) pour 17h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.019486,HAUSSE,110.0,73.5,Consommation appareils (Wh) = 110.0 -> valeur dans la norme pour 17h (HAUSSE du score anomalie),RH_4,Humidite bureau (%),0.015915,HAUSSE,45.66,88.8,Humidite bureau (%) = 45.66 -> valeur haute (top 25%) pour 17h (HAUSSE du score anomalie),RH_3,Humidite buanderie (%),0.010676,HAUSSE,45.0,95.8,Humidite buanderie (%) = 45.0 -> valeur tres haute (top 10%) pour 17h (HAUSSE du score anomalie),T1,Temperature cuisine (C),0.009866,HAUSSE,22.0,70.9,Temperature cuisine (C) = 22.0 -> valeur dans la norme pour 17h (HAUSSE du score anomalie)
2016-01-14 19:40:00,mid,97.03,0.516339,19,Thursday,0,100.0,10.0,22.73,21.79,22.07,18.89,17.1,3.9,17.76,18.93,16.86,3.6,46.9,40.4,43.1,54.3,83.0,7.67,748.7,0.97,T1,Temperature cuisine (C),0.025939,HAUSSE,22.73,84.2,Temperature cuisine (C) = 22.73 -> valeur haute (top 25%) pour 19h (HAUSSE du score anomalie),RH_1,Humidite cuisine (%),0.023451,HAUSSE,46.86,95.6,Humidite cuisine (%) = 46.86 -> valeur tres haute (top 10%) pour 19h (HAUSSE du score anomalie),RH_5,Humidite salle de bain (%),0.013401,HAUSSE,54.3,85.8,Humidite salle de bain (%) = 54.3 -> valeur haute (top 25%) pour 19h (HAUSSE du score anomalie),Tdewpoint,Point de rosee (C),0.009812,HAUSSE,0.97,26.2,Point de rosee (C) = 0.97 -> valeur dans la norme pour 19h (HAUSSE du score anomalie),RH_out,Humidite exterieure (%),0.00896,HAUSSE,83.0,65.4,Humidite exterieure (%) = 83.0 -> valeur dans la norme pour 19h (HAUSSE du score anomalie)
